privacy.access.email.subject;Megosztott album ;Shared album;
default.album.desc;Regsiztrációkor létrehozott alapértelmezett album.;Default Web album for uploaded and for not categorized images.;
image;Kép;Image;
delete.image.confirm;Biztos hogy törölsz {0} képet {1} kategóriából ({2}). A képek többé nem lesznek elérhetõek.;Are You sure deleting {0} image/s under {1} category/s ({2}). Images will not be available anymore.   ;
update.data;Adatmódosítás;Update data;
album.isrecommend;Az album képei a fõoldalon megjelennek. Vedd ki a pipát ha nem szeretnéd, hogy a fõoldalon látható legyen.;Pictures from this album appear on main page. Uncheck it, if you don't want them to appear there.;
category.used.by.site_galleries;${delete.forbidden} a kategória használatban van a portfólió oldalon. Ha törölni szeretnéd vedd le a portfólió oldalról!;${delete.forbidden} the category is used on portfolio site. If you want to delete please remove from portfolio site!;
recipient.desc;Üzenet;move.to.album;Mozgat;Move;
password.remainder;Elfelejtetted a jelszavad? Kérj újat.;Forgot your password?;
general.error.title;Oldal nem elérhetõ;Page not available;
categories;Albumok;Albums;
my.email.address;Az Én e-mail címem;My e-mail address;
external.auth;Külsõ azonosítás jóváhagyása;External authentication confirmation;
album.selector;Album választó;Album selector;
check.password;A jelszó legkevesebb 6 karakter kell legyen.;Password must have minimum 6 characters.;
photo.desc;Leírás;Photo description;
image.from.album.removed;{0} képet töröltem a(z) "{1}" albumból;{0} images has been removed from "{1}" album.;
index.title;myFotoRoom.com foto online;myFotoRoom.com foto online ;
subject;Tárgy;Subject;
cancel;Mégsem;Cancel;
privacy;Megosztás;Privacy;
check.email;Helyes email címet kell megadni.;Please enter a valid email address.;
layout.detailed;Részletes;Detailed;
album.empty;Ez az album üres.;Empty album;
manage.images;Rendezze képeit:;Manage your images:;
contact.desc;Ha kérdésed vagy észrevételed van, oszd meg velünk! Írj e-mail-t, vagy küldj üzenetet, az itt található kérdõív segítségével.;If you have question please send it to us. Fill the form and leave your message here or send it to info@myfotoroom.com! ;
account.name;Felhasználó név;Username;
album.name;Név;Name;
portfolio.title;{0};{0};
message.sent;Az üzenetet átvettük. Hamarosan a megadott e-mail címre válaszolunk. Köszönjük!;Your message was sent. ;
passwords.must.match;A beírt jelszavaknak egyezniük kell.;Password must match.;
sitestate;Legyen interneten elérhetõ?;Should be accessible from internet.;
